Fiber ID,Group ID,Point I,Point J,Point K,Area,cy,cz
0,0.0,14,7,20,60.0,100.0,38.0
1,0.0,15,356,358,30.651372534669292,25.175287750328835,40.37666557704347
2,0.0,58,14,81,48.0,91.08333333333337,38.0
3,0.0,178,40,26,21.988357609307513,92.74478383494329,77.25000000000057
4,0.0,252,248,52,46.97135843241051,5.822198085343018,150.6852454093605
5,0.0,46,45,93,52.5,61.41666666666663,34.0
6,0.0,100,97,63,33.211601759058794,148.125,27.469592246928897
7,0.0,62,97,100,32.22166296922842,143.74999999999972,25.090032309450883
8,0.0,63,64,103,52.5,155.74999999999994,34.0
9,0.0,438,435,445,44.92409999346819,173.82640514704508,72.16764665837991
10,0.0,59,58,81,52.5,86.91666666666671,34.00000000000003
11,0.0,398,297,408,23.744101177602715,115.96588377162459,63.91409214499069
12,0.0,25,197,39,40.0,98.33333333333343,131.33333333333326
13,0.0,80,466,376,40.289366977824564,2.14876623881731,18.75
14,0.0,348,56,183,27.476904420418578,69.08441613440357,101.2376888273534
15,0.0,119,50,51,52.5,61.41666666666663,166.0
16,0.0,121,124,119,31.396950527938316,56.24999999999932,174.78429722330247
17,0.0,69,145,417,62.23773228524806,142.50276737528975,182.76279463259834
18,0.0,195,25,194,40.75587256075323,89.79308535199164,124.8200038507398
19,0.0,149,70,69,41.69175881375304,151.74961245575616,178.0007322392188
20,0.0,318,430,333,46.24346605183018,172.55960201982703,111.09918015588562
21,0.0,159,160,54,52.5,130.2500000000001,166.00000000000034
22,0.0,157,158,305,58.106730144136236,177.89704948578992,169.77939347606025
23,0.0,8,13,21,60.0,100.0,162.0
24,0.0,154,10,314,52.5,164.41666666666652,166.0
25,0.0,276,287,514,33.577514454648735,180.02762666370654,36.05367523833149
26,0.0,151,152,149,54.66524255086733,160.12551631992835,188.9403951505907
27,0.0,7,14,42,40.0,98.33333333333337,44.666666666666686
28,0.0,4,356,15,31.468654965404937,28.25174139081085,35.999999999999986
29,0.0,322,324,310,42.47236538076322,161.82220160564611,137.0915306150123
30,0.0,85,86,87,53.40576171875,100.00000000000003,19.244532238298568
31,0.0,298,48,296,37.333333333333485,131.66666666666652,45.111111111111086
32,0.0,160,73,54,44.94209487196531,129.16666666666697,173.42415960929316
33,0.0,13,109,21,52.5,95.41666666666666,166.0000000000001
34,0.0,22,23,41,32.5,100.0,97.83333333333326
35,0.0,177,181,74,45.46532429134322,80.2277411287572,87.56147878253455
36,0.0,162,163,161,49.81730532131951,137.83333333333394,147.44152570247184
37,0.0,76,28,37,34.46962538003663,91.46465380717609,108.6666666666672
38,0.0,31,38,300,40.0,101.66666666666674,147.33333333333348
39,0.0,162,164,159,44.95466429612679,128.84240654124847,152.02128204470318
40,0.0,194,25,28,36.76568165832305,93.11458042777826,119.49999999999955
41,0.0,36,28,25,32.5,96.66666666666674,119.5
42,0.0,43,27,399,40.0,101.66666666666663,68.66666666666669
43,0.0,84,346,42,40.00319187936111,88.66660016917956,54.3335328257931
44,0.0,400,345,263,37.35716722535926,111.07818488503256,78.15183032609474
45,0.0,27,26,40,32.5,98.33333333333326,76.16666666666674
46,0.0,22,33,176,36.76568165832259,93.11458042777863,93.50000000000034
47,0.0,37,23,22,32.5,98.33333333333337,102.16666666666663
48,0.0,169,174,167,37.9258909951659,119.07809047881233,139.8400406014473
49,0.0,28,36,29,32.5,100.0,115.16666666666674
50,0.0,194,76,262,53.45287415896382,83.97065884908523,112.58760729544088
51,0.0,24,25,39,40.0,101.66666666666674,128.66666666666663
52,0.0,307,164,174,23.07774856438482,119.12132030507792,147.61049184740068
53,0.0,113,13,38,32.0,92.33333333333326,155.33333333333348
54,0.0,264,79,266,53.452874158962004,116.02934115091554,100.41239270455975
55,0.0,22,41,33,32.5,96.66666666666674,93.50000000000023
56,0.0,76,176,261,53.45287415896382,83.97065884908547,100.41239270455873
57,0.0,33,32,40,32.5,98.33333333333337,84.83333333333337
58,0.0,23,264,32,36.76568165832214,106.88541957222265,93.50000000000068
59,0.0,26,27,43,40.0,98.33333333333337,71.33333333333331
60,0.0,14,58,42,32.0,92.33333333333337,44.666666666666686
61,0.0,35,34,42,40.0,98.33333333333337,55.333333333333314
62,0.0,24,29,36,32.5,103.33333333333341,119.49999999999997
63,0.0,25,24,36,32.5,100.0,123.83333333333326
64,0.0,28,29,37,32.5,98.33333333333337,110.83333333333337
65,0.0,37,29,265,32.5,101.66666666666652,108.66666666666652
66,0.0,30,38,31,40.0,98.33333333333326,144.66666666666674
67,0.0,13,8,38,40.0,98.33333333333348,155.3333333333336
68,0.0,172,39,169,41.35269430972221,111.14580319836273,133.22024928620056
69,0.0,31,39,30,40.0,101.66666666666652,139.33333333333326
70,0.0,40,345,27,32.5,101.66666666666674,78.33333333333326
71,0.0,177,33,40,32.38457698892262,91.67850492421326,83.84666281592763
72,0.0,32,33,41,32.5,100.0,89.16666666666674
73,0.0,23,32,41,32.5,103.33333333333326,93.49999999999997
74,0.0,42,34,107,40.0,101.66666666666669,52.66666666666666
75,0.0,84,42,58,64.0,88.33333333333326,48.666666666666686
76,0.0,179,26,43,32.025459093103564,92.33121174224135,68.66666666666652
77,0.0,35,43,34,40.0,98.33333333333331,60.66666666666663
78,0.0,270,83,269,48.0,74.58333333333326,38.0
79,0.0,361,460,80,48.7028431053735,2.5974849656199215,33.0809041868872
80,0.0,90,81,86,31.66850196794951,91.24999999999991,25.174323509645795
81,0.0,180,184,181,42.23445545271352,71.99353045481627,80.14703301652617
82,0.0,60,61,92,52.5,44.08333333333333,34.000000000000014
83,0.0,7,104,20,52.5,104.58333333333326,34.0
84,0.0,96,409,101,44.082683367011214,126.24999999999994,23.282638725026857
85,0.0,410,106,108,41.066666666666606,117.39999999999998,48.35555555555561
86,0.0,506,389,85,42.27393143673493,97.2821463936204,11.018441071899673
87,0.0,48,97,49,52.5,138.58333333333326,34.0
88,0.0,67,68,138,52.5,44.25000000000006,166.0
89,0.0,116,66,118,55.390650277624445,81.04166666666697,175.90212994084004
90,0.0,114,110,113,48.0,83.0,154.0
91,0.0,66,110,299,52.5,78.41666666666663,166.0
92,0.0,53,142,302,48.0,142.58333333333348,162.00000000000023
93,0.0,147,149,69,31.96333410268926,150.4707474758443,184.6140688729156
94,0.0,311,312,327,50.129992958645744,147.7860528318804,135.63131816535224
95,0.0,141,308,146,45.51935551816496,111.66666666666652,173.46814137281262
96,0.0,166,308,141,52.5,113.08333333333337,165.9999999999999
97,0.0,186,182,192,57.99029770792936,56.212952628047844,87.32504793528949
98,0.0,412,157,411,35.94480767569439,177.13443903784218,180.12786019202122
99,0.0,37,22,76,34.46962538003754,91.46465380717541,104.33333333333303
100,0.0,29,344,265,25.859878474764628,107.65229522818095,111.19343637798613
101,0.0,344,24,172,60.70263293052085,110.50720898683801,122.83597230094381
102,0.0,20,86,81,30.021158854166742,95.62500000000006,27.71267361111107
103,0.0,358,359,82,32.27340024831312,16.63667222418251,45.6849280162302
104,0.0,385,86,85,29.51763955556578,93.2069149676079,17.806344251560077
105,0.0,59,83,58,48.0,82.83333333333326,38.0
106,0.0,60,92,461,48.0,40.91666666666666,38.0
107,0.0,189,182,187,35.406887679676856,56.83651967275165,75.3290340067121
108,0.0,387,59,90,35.0107269132767,83.40403943766864,23.09147647911861
109,0.0,464,93,61,52.5,52.749999999999986,33.999999999999986
