% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, t1(2), k
L12X12X1.375	12	12	1.375	2.0625
L12X12X1.25	12	12	1.25	1.9375
L12X12X1.125	12	12	1.125	1.8125
L12X12X1	12	12	1	1.6875
L10X10X1.375	10	10	1.375	2.1875
L10X10X1.25	10	10	1.25	2.0625
L10X10X1.125	10	10	1.125	1.9375
L10X10X1	10	10	1	1.8125
L10X10X0.875	10	10	0.875	1.6875
L10X10X0.75	10	10	0.75	1.5625
L8X8X1.125	8	8	1.125	1.75
L8X8X1	8	8	1	1.625
L8X8X0.875	8	8	0.875	1.5
L8X8X0.75	8	8	0.75	1.375
L8X8X0.625	8	8	0.625	1.25
L8X8X0.5625	8	8	0.5625	1.1875
L8X8X0.5	8	8	0.5	1.125
L8X6X1	8	6	1	1.5
L8X6X0.875	8	6	0.875	1.375
L8X6X0.75	8	6	0.75	1.25
L8X6X0.625	8	6	0.625	1.125
L8X6X0.5625	8	6	0.5625	1.0625
L8X6X0.5	8	6	0.5	1
L8X6X0.4375	8	6	0.4375	0.9375
L8X4X1	8	4	1	1.5
L8X4X0.875	8	4	0.875	1.375
L8X4X0.75	8	4	0.75	1.25
L8X4X0.625	8	4	0.625	1.125
L8X4X0.5625	8	4	0.5625	1.0625
L8X4X0.5	8	4	0.5	1
L8X4X0.4375	8	4	0.4375	0.9375
L7X4X0.75	7	4	0.75	1.25
L7X4X0.625	7	4	0.625	1.125
L7X4X0.5	7	4	0.5	1
L7X4X0.4375	7	4	0.4375	0.9375
L7X4X0.375	7	4	0.375	0.875
L6X6X1	6	6	1	1.5
L6X6X0.875	6	6	0.875	1.375
L6X6X0.75	6	6	0.75	1.25
L6X6X0.625	6	6	0.625	1.125
L6X6X0.5625	6	6	0.5625	1.0625
L6X6X0.5	6	6	0.5	1
L6X6X0.4375	6	6	0.4375	0.9375
L6X6X0.375	6	6	0.375	0.875
L6X6X0.3125	6	6	0.3125	0.8125
L6X4X0.875	6	4	0.875	1.375
L6X4X0.75	6	4	0.75	1.25
L6X4X0.625	6	4	0.625	1.125
L6X4X0.5625	6	4	0.5625	1.0625
L6X4X0.5	6	4	0.5	1
L6X4X0.4375	6	4	0.4375	0.9375
L6X4X0.375	6	4	0.375	0.875
L6X4X0.3125	6	4	0.3125	0.8125
L6X3.5X0.5	6	3.5	0.5	1
L6X3.5X0.375	6	3.5	0.375	0.875
L6X3.5X0.3125	6	3.5	0.3125	0.8125
L5X5X0.875	5	5	0.875	1.375
L5X5X0.75	5	5	0.75	1.25
L5X5X0.625	5	5	0.625	1.125
L5X5X0.5	5	5	0.5	1
L5X5X0.4375	5	5	0.4375	0.9375
L5X5X0.375	5	5	0.375	0.875
L5X5X0.3125	5	5	0.3125	0.8125
L5X3.5X0.75	5	3.5	0.75	1.1875
L5X3.5X0.625	5	3.5	0.625	1.0625
L5X3.5X0.5	5	3.5	0.5	0.9375
L5X3.5X0.375	5	3.5	0.375	0.8125
L5X3.5X0.3125	5	3.5	0.3125	0.75
L5X3.5X0.25	5	3.5	0.25	0.6875
L5X3X0.5	5	3	0.5	0.9375
L5X3X0.4375	5	3	0.4375	0.875
L5X3X0.375	5	3	0.375	0.8125
L5X3X0.3125	5	3	0.3125	0.75
L5X3X0.25	5	3	0.25	0.6875
L4X4X0.75	4	4	0.75	1.125
L4X4X0.625	4	4	0.625	1
L4X4X0.5	4	4	0.5	0.875
L4X4X0.4375	4	4	0.4375	0.8125
L4X4X0.375	4	4	0.375	0.75
L4X4X0.3125	4	4	0.3125	0.6875
L4X4X0.25	4	4	0.25	0.625
L4X3.5X0.5	4	3.5	0.5	0.875
L4X3.5X0.375	4	3.5	0.375	0.75
L4X3.5X0.3125	4	3.5	0.3125	0.6875
L4X3.5X0.25	4	3.5	0.25	0.625
L4X3X0.625	4	3	0.625	1
L4X3X0.5	4	3	0.5	0.875
L4X3X0.375	4	3	0.375	0.75
L4X3X0.3125	4	3	0.3125	0.6875
L4X3X0.25	4	3	0.25	0.625
L3.5X3.5X0.5	3.5	3.5	0.5	0.875
L3.5X3.5X0.4375	3.5	3.5	0.4375	0.8125
L3.5X3.5X0.375	3.5	3.5	0.375	0.75
L3.5X3.5X0.3125	3.5	3.5	0.3125	0.6875
L3.5X3.5X0.25	3.5	3.5	0.25	0.625
L3.5X3X0.5	3.5	3	0.5	0.875
L3.5X3X0.4375	3.5	3	0.4375	0.8125
L3.5X3X0.375	3.5	3	0.375	0.75
L3.5X3X0.3125	3.5	3	0.3125	0.6875
L3.5X3X0.25	3.5	3	0.25	0.625
L3.5X2.5X0.5	3.5	2.5	0.5	0.875
L3.5X2.5X0.375	3.5	2.5	0.375	0.75
L3.5X2.5X0.3125	3.5	2.5	0.3125	0.6875
L3.5X2.5X0.25	3.5	2.5	0.25	0.625
L3X3X0.5	3	3	0.5	0.875
L3X3X0.4375	3	3	0.4375	0.8125
L3X3X0.375	3	3	0.375	0.75
L3X3X0.3125	3	3	0.3125	0.6875
L3X3X0.25	3	3	0.25	0.625
L3X3X0.1875	3	3	0.1875	0.5625
L3X2.5X0.5	3	2.5	0.5	0.875
L3X2.5X0.4375	3	2.5	0.4375	0.8125
L3X2.5X0.375	3	2.5	0.375	0.75
L3X2.5X0.3125	3	2.5	0.3125	0.6875
L3X2.5X0.25	3	2.5	0.25	0.625
L3X2.5X0.1875	3	2.5	0.1875	0.5625
L3X2X0.5	3	2	0.5	0.8125
L3X2X0.375	3	2	0.375	0.6875
L3X2X0.3125	3	2	0.3125	0.625
L3X2X0.25	3	2	0.25	0.5625
L3X2X0.1875	3	2	0.1875	0.5
L2.5X2.5X0.5	2.5	2.5	0.5	0.75
L2.5X2.5X0.375	2.5	2.5	0.375	0.625
L2.5X2.5X0.3125	2.5	2.5	0.3125	0.5625
L2.5X2.5X0.25	2.5	2.5	0.25	0.5
L2.5X2.5X0.1875	2.5	2.5	0.1875	0.4375
L2.5X2X0.375	2.5	2	0.375	0.625
L2.5X2X0.3125	2.5	2	0.3125	0.5625
L2.5X2X0.25	2.5	2	0.25	0.5
L2.5X2X0.1875	2.5	2	0.1875	0.4375
L2.5X1.5X0.25	2.5	1.5	0.25	0.5
L2.5X1.5X0.1875	2.5	1.5	0.1875	0.4375
L2X2X0.375	2	2	0.375	0.625
L2X2X0.3125	2	2	0.3125	0.5625
L2X2X0.25	2	2	0.25	0.5
L2X2X0.1875	2	2	0.1875	0.4375
L2X2X0.125	2	2	0.125	0.375
