% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, tf(tw), B, D, k
HSS24X12X3/4	0.698	12.006	24.011	1.047
HSS24X12X5/8	0.581	12.027	24.053	0.871
HSS24X12X1/2	0.465	11.997	23.994	0.698
HSS20X12X3/4	0.698	12.006	19.963	1.047
HSS20X12X5/8	0.581	12.027	19.986	0.871
HSS20X12X1/2	0.465	11.997	19.995	0.698
HSS20X12X3/8	0.349	12.006	19.998	0.524
HSS20X12X5/16	0.291	11.989	19.992	0.436
HSS20X8X5/8	0.581	8.018	19.986	0.871
HSS20X8X1/2	0.465	7.998	19.995	0.698
HSS20X8X3/8	0.349	7.992	19.998	0.524
HSS20X8X5/16	0.291	8.002	19.992	0.436
HSS20X4X1/2	0.465	3.999	19.995	0.698
HSS20X4X3/8	0.349	4.0	19.998	0.524
HSS20X4X5/16	0.291	3.987	19.992	0.436
HSS20X4X1/4	0.233	4.008	19.991	0.35
HSS18X6X5/8	0.581	6.002	18.011	0.871
HSS18X6X1/2	0.465	5.998	17.996	0.698
HSS18X6X3/8	0.349	6.003	18.008	0.524
HSS18X6X5/16	0.291	5.995	18.013	0.436
HSS18X6X1/4	0.233	6.011	18.011	0.35
HSS16X12X3/4	0.698	12.006	15.984	1.047
HSS16X12X5/8	0.581	12.027	15.978	0.871
HSS16X12X1/2	0.465	11.997	15.996	0.698
HSS16X12X3/8	0.349	12.006	15.984	0.524
HSS16X12X5/16	0.291	11.989	16.005	0.436
HSS16X8X5/8	0.581	8.018	15.978	0.871
HSS16X8X1/2	0.465	7.998	15.996	0.698
HSS16X8X3/8	0.349	7.992	15.984	0.524
HSS16X8X5/16	0.291	8.002	16.005	0.436
HSS16X8X1/4	0.233	7.992	16.007	0.35
HSS16X4X5/8	0.581	3.997	15.978	0.871
HSS16X4X1/2	0.465	3.999	15.996	0.698
HSS16X4X3/8	0.349	4.0	15.984	0.524
HSS16X4X5/16	0.291	3.987	16.005	0.436
HSS16X4X1/4	0.233	4.008	16.007	0.35
HSS16X4X3/16	0.174	4.002	16.008	0.261
HSS14X10X5/8	0.581	9.993	14.002	0.871
HSS14X10X1/2	0.465	9.998	13.997	0.698
HSS14X10X3/8	0.349	10.016	13.995	0.524
HSS14X10X5/16	0.291	10.01	13.997	0.436
HSS14X10X1/4	0.233	9.996	14.003	0.35
HSS14X6X5/8	0.581	6.002	14.002	0.871
HSS14X6X1/2	0.465	5.998	13.997	0.698
HSS14X6X3/8	0.349	6.003	13.995	0.524
HSS14X6X5/16	0.291	5.995	13.997	0.436
HSS14X6X1/4	0.233	6.011	14.003	0.35
HSS14X6X3/16	0.174	6.003	14.007	0.261
HSS14X4X5/8	0.581	3.997	14.002	0.871
HSS14X4X1/2	0.465	3.999	13.997	0.698
HSS14X4X3/8	0.349	4.0	13.995	0.524
HSS14X4X5/16	0.291	3.987	13.997	0.436
HSS14X4X1/4	0.233	4.008	14.003	0.35
HSS14X4X3/16	0.174	4.002	14.007	0.261
HSS12X10X1/2	0.465	9.998	11.997	0.698
HSS12X10X3/8	0.349	10.016	12.006	0.524
HSS12X10X5/16	0.291	10.01	11.989	0.436
HSS12X10X1/4	0.233	9.996	12.0	0.35
HSS12X8X5/8	0.581	8.018	12.027	0.871
HSS12X8X1/2	0.465	7.998	11.997	0.698
HSS12X8X3/8	0.349	7.992	12.006	0.524
HSS12X8X5/16	0.291	8.002	11.989	0.436
HSS12X8X1/4	0.233	7.992	12.0	0.35
HSS12X8X3/16	0.174	8.004	12.006	0.261
HSS12X6X5/8	0.581	6.002	12.027	0.871
HSS12X6X1/2	0.465	5.998	11.997	0.698
HSS12X6X3/8	0.349	6.003	12.006	0.524
HSS12X6X5/16	0.291	5.995	11.989	0.436
HSS12X6X1/4	0.233	6.011	12.0	0.35
HSS12X6X3/16	0.174	6.003	12.006	0.261
HSS12X4X5/8	0.581	3.997	12.027	0.871
HSS12X4X1/2	0.465	3.999	11.997	0.698
HSS12X4X3/8	0.349	4.0	12.006	0.524
HSS12X4X5/16	0.291	3.987	11.989	0.436
HSS12X4X1/4	0.233	4.008	12.0	0.35
HSS12X4X3/16	0.174	4.002	12.006	0.261
HSS12X3-1/2X3/8	0.349	3.5	12.006	0.524
HSS12X3-1/2X5/16	0.291	3.501	11.989	0.436
HSS12X3X5/16	0.291	3.0	11.989	0.436
HSS12X3X1/4	0.233	3.001	12.0	0.35
HSS12X3X3/16	0.174	2.993	12.006	0.261
HSS12X2X5/16	0.291	1.999	11.989	0.436
HSS12X2X1/4	0.233	1.999	12.0	0.35
HSS12X2X3/16	0.174	1.999	12.006	0.261
HSS10X8X5/8	0.581	8.018	9.993	0.871
HSS10X8X1/2	0.465	7.998	9.998	0.698
HSS10X8X3/8	0.349	7.992	10.016	0.524
HSS10X8X5/16	0.291	8.002	10.01	0.436
HSS10X8X1/4	0.233	7.992	9.996	0.35
HSS10X8X3/16	0.174	8.004	10.005	0.261
HSS10X6X5/8	0.581	6.002	9.993	0.871
HSS10X6X1/2	0.465	5.998	9.998	0.698
HSS10X6X3/8	0.349	6.003	10.016	0.524
HSS10X6X5/16	0.291	5.995	10.01	0.436
HSS10X6X1/4	0.233	6.011	9.996	0.35
HSS10X6X3/16	0.174	6.003	10.005	0.261
HSS10X5X3/8	0.349	4.991	10.016	0.524
HSS10X5X5/16	0.291	5.005	10.01	0.436
HSS10X5X1/4	0.233	5.01	9.996	0.35
HSS10X5X3/16	0.174	4.994	10.005	0.261
HSS10X4X5/8	0.581	3.997	9.993	0.871
HSS10X4X1/2	0.465	3.999	9.998	0.698
HSS10X4X3/8	0.349	4.0	10.016	0.524
HSS10X4X5/16	0.291	3.987	10.01	0.436
HSS10X4X1/4	0.233	4.008	9.996	0.35
HSS10X4X3/16	0.174	4.002	10.005	0.261
HSS10X4X1/8	0.116	4.002	9.999	0.174
HSS10X3-1/2X1/2	0.465	3.501	9.998	0.698
HSS10X3-1/2X3/8	0.349	3.5	10.016	0.524
HSS10X3-1/2X5/16	0.291	3.501	10.01	0.436
HSS10X3-1/2X1/4	0.233	3.495	9.996	0.35
HSS10X3-1/2X3/16	0.174	3.497	10.005	0.261
HSS10X3-1/2X1/8	0.116	3.503	9.999	0.174
HSS10X3X3/8	0.349	3.001	10.016	0.524
HSS10X3X5/16	0.291	3.0	10.01	0.436
HSS10X3X1/4	0.233	3.001	9.996	0.35
HSS10X3X3/16	0.174	2.993	10.005	0.261
HSS10X3X1/8	0.116	3.004	9.999	0.174
HSS10X2X3/8	0.349	2.0	10.016	0.524
HSS10X2X5/16	0.291	1.999	10.01	0.436
HSS10X2X1/4	0.233	1.999	9.996	0.35
HSS10X2X3/16	0.174	1.999	10.005	0.261
