% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, tw, B(D)
HSS20.000X0.500	0.465	19.995
HSS20.000X0.375	0.349	19.998
HSS18.000X0.500	0.465	17.996
HSS18.000X0.375	0.349	18.008
HSS16.000X0.625	0.581	15.978
HSS16.000X0.500	0.465	15.996
HSS16.000X0.438	0.407	15.995
HSS16.000X0.375	0.349	15.984
HSS16.000X0.312	0.291	16.005
HSS16.000X0.250	0.233	16.007
HSS14.000X0.625	0.581	14.002
HSS14.000X0.500	0.465	13.997
HSS14.000X0.375	0.349	13.995
HSS14.000X0.312	0.291	13.997
HSS14.000X0.250	0.233	14.003
HSS12.750X0.500	0.465	12.741
HSS12.750X0.375	0.349	12.738
HSS12.750X0.250	0.233	12.745
HSS10.750X0.500	0.465	10.742
HSS10.750X0.375	0.349	10.749
HSS10.750X0.250	0.233	10.741
HSS10.000X0.625	0.581	9.993
HSS10.000X0.500	0.465	9.998
HSS10.000X0.375	0.349	10.016
HSS10.000X0.312	0.291	10.01
HSS10.000X0.250	0.233	9.996
HSS10.000X0.188	0.174	10.005
HSS9.625X0.500	0.465	9.626
HSS9.625X0.375	0.349	9.632
HSS9.625X0.312	0.291	9.632
HSS9.625X0.250	0.233	9.623
HSS9.625X0.188	0.174	9.622
HSS8.625X0.625	0.581	8.599
HSS8.625X0.500	0.465	8.603
HSS8.625X0.375	0.349	8.62
HSS8.625X0.322	0.3	8.64
HSS8.625X0.250	0.233	8.621
HSS8.625X0.188	0.174	8.63
HSS7.625X0.375	0.349	7.608
HSS7.625X0.328	0.305	7.625
HSS7.500X0.500	0.465	7.487
HSS7.500X0.375	0.349	7.504
HSS7.500X0.312	0.291	7.508
HSS7.500X0.250	0.233	7.503
HSS7.500X0.188	0.174	7.499
HSS7.000X0.500	0.465	7.022
HSS7.000X0.375	0.349	7.015
HSS7.000X0.312	0.291	7.013
HSS7.000X0.250	0.233	6.99
HSS7.000X0.188	0.174	6.995
HSS7.000X0.125	0.116	6.995
HSS6.875X0.500	0.465	6.882
HSS6.875X0.375	0.349	6.875
HSS6.875X0.312	0.291	6.868
HSS6.875X0.250	0.233	6.874
HSS6.875X0.188	0.174	6.873
HSS6.625X0.500	0.465	6.603
HSS6.625X0.432	0.402	6.633
HSS6.625X0.375	0.349	6.631
HSS6.625X0.312	0.291	6.635
HSS6.625X0.280	0.26	6.63
HSS6.625X0.250	0.233	6.617
HSS6.625X0.188	0.174	6.629
HSS6.625X0.125	0.116	6.624
HSS6.000X0.500	0.465	5.999
HSS6.000X0.375	0.349	6.003
HSS6.000X0.312	0.291	5.995
HSS6.000X0.280	0.26	6.006
HSS6.000X0.250	0.233	6.011
HSS6.000X0.188	0.174	6.003
HSS6.000X0.125	0.116	5.997
HSS5.563X0.500	0.465	5.58
HSS5.563X0.375	0.349	5.549
HSS5.563X0.258	0.24	5.568
HSS5.563X0.188	0.174	5.568
HSS5.563X0.134	0.124	5.568
HSS5.500X0.500	0.465	5.487
HSS5.500X0.375	0.349	5.514
HSS5.500X0.258	0.24	5.496
HSS5.000X0.500	0.465	5.022
HSS5.000X0.375	0.349	4.991
HSS5.000X0.312	0.291	5.005
HSS5.000X0.258	0.24	4.992
HSS5.000X0.250	0.233	5.01
HSS5.000X0.188	0.174	4.994
HSS5.000X0.125	0.116	5.0
HSS4.500X0.375	0.349	4.502
HSS4.500X0.337	0.313	4.507
HSS4.500X0.237	0.22	4.51
HSS4.500X0.188	0.174	4.507
HSS4.500X0.125	0.116	4.501
HSS4.000X0.313	0.291	3.987
HSS4.000X0.250	0.233	4.008
HSS4.000X0.237	0.22	4.004
HSS4.000X0.226	0.21	3.99
HSS4.000X0.220	0.205	3.997
HSS4.000X0.188	0.174	4.002
HSS4.000X0.125	0.116	4.002
HSS3.500X0.313	0.291	3.492
HSS3.500X0.300	0.279	3.488
HSS3.500X0.250	0.233	3.495
HSS3.500X0.216	0.201	3.497
HSS3.500X0.203	0.189	3.496
HSS3.500X0.188	0.174	3.497
HSS3.500X0.125	0.116	3.503
HSS3.000X0.250	0.233	3.006
HSS3.000X0.216	0.201	2.995
HSS3.000X0.203	0.189	3.005
HSS3.000X0.188	0.174	2.993
HSS3.000X0.152	0.141	3.003
HSS3.000X0.134	0.124	3.001
HSS3.000X0.125	0.116	3.004
HSS2.875X0.250	0.233	2.866
HSS2.875X0.203	0.189	2.873
HSS2.875X0.188	0.174	2.871
HSS2.875X0.125	0.116	2.877
HSS2.500X0.250	0.233	2.493
HSS2.500X0.188	0.174	2.506
HSS2.500X0.125	0.116	2.506
HSS2.375X0.250	0.233	2.377
HSS2.375X0.218	0.203	2.375
HSS2.375X0.188	0.174	2.366
HSS2.375X0.154	0.143	2.374
HSS2.375X0.125	0.116	2.378
HSS1.900X0.188	0.174	1.897
HSS1.900X0.145	0.135	1.904
HSS1.900X0.120	0.111	1.898
HSS1.660X0.140	0.13	1.664
