% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, t2, t1, k
WT22X167.5	22.0	15.9	1.03	1.77	2.56
WT22X145	21.8	15.8	0.865	1.58	2.36
WT22X131	21.7	15.8	0.785	1.42	2.20
WT22X115	21.5	15.8	0.710	1.22	2.01
WT20X327.5	21.8	16.9	1.97	3.54	4.72
WT20X296.5	21.5	16.7	1.79	3.23	4.41
WT20X251.5	21.0	16.4	1.54	2.76	3.94
WT20X215.5	20.6	16.2	1.34	2.36	3.54
WT20X198.5	20.5	16.1	1.22	2.20	3.38
WT20X186	20.3	16.1	1.16	2.05	3.23
WT20X181	20.3	16.0	1.12	2.01	3.19
WT20X162	20.1	15.9	1.00	1.81	2.99
WT20X148.5	19.9	15.8	0.930	1.65	2.83
WT20X138.5	19.8	15.8	0.830	1.58	2.76
WT20X124.5	19.7	15.8	0.750	1.42	2.60
WT20X107.5	19.5	15.8	0.650	1.22	2.40
WT20X99.5	19.3	15.8	0.650	1.07	2.25
WT20X196	20.8	12.4	1.42	2.52	3.70
WT20X165.5	20.4	12.2	1.22	2.13	3.31
WT20X163.5	20.4	12.1	1.18	2.13	3.31
WT20X147	20.2	12.0	1.06	1.93	3.11
WT20X139	20.1	12.0	1.03	1.81	2.99
WT20X132	20.0	11.9	0.960	1.73	2.91
WT20X117.5	19.8	11.9	0.830	1.58	2.76
WT20X105.5	19.7	11.8	0.750	1.42	2.60
WT20X91.5	19.5	11.8	0.650	1.20	2.38
WT20X83.5	19.3	11.8	0.650	1.03	2.21
WT20X74.5	19.1	11.8	0.630	0.830	2.01
WT18X462.5	21.6	18.6	3.02	4.53	5.28
WT18X426.5	21.6	18.2	2.52	4.53	5.28
WT18X401	21.3	18.0	2.38	4.29	5.04
WT18X361.5	20.9	17.8	2.17	3.90	4.65
WT18X326	20.5	17.6	1.97	3.54	4.49
WT18X264.5	19.9	17.2	1.61	2.91	3.86
WT18X243.5	19.7	17.1	1.50	2.68	3.63
WT18X220.5	19.4	17.0	1.36	2.44	3.39
WT18X197.5	19.2	16.8	1.22	2.20	3.15
WT18X180.5	19.0	16.7	1.12	2.01	2.96
WT18X165	18.8	16.6	1.02	1.85	2.80
WT18X151	18.7	16.7	0.945	1.68	2.63
WT18X141	18.6	16.6	0.885	1.57	2.52
WT18X131	18.4	16.6	0.840	1.44	2.39
WT18X123.5	18.3	16.5	0.800	1.35	2.30
WT18X115.5	18.2	16.5	0.760	1.26	2.21
WT18X128	18.7	12.2	0.960	1.73	2.48
WT18X116	18.6	12.1	0.870	1.57	2.32
WT18X105	18.3	12.2	0.830	1.36	2.11
WT18X97	18.2	12.1	0.765	1.26	2.01
WT18X91	18.2	12.1	0.725	1.18	1.93
WT18X85	18.1	12.0	0.680	1.10	1.85
WT18X80	18.0	12.0	0.650	1.02	1.77
WT18X75	17.9	12.0	0.625	0.940	1.69
WT18X67.5	17.8	12.0	0.600	0.790	1.54
WT16.5X193.5	18.0	16.2	1.26	2.28	3.07
WT16.5X177	17.8	16.1	1.16	2.09	2.88
WT16.5X159	17.6	16.0	1.04	1.89	2.68
WT16.5X145.5	17.4	15.9	0.960	1.73	2.52
WT16.5X131.5	17.3	15.8	0.870	1.57	2.36
WT16.5X120.5	17.1	15.9	0.830	1.40	2.19
WT16.5X110.5	17.0	15.8	0.775	1.28	2.06
WT16.5X100.5	16.8	15.7	0.715	1.15	1.94
WT16.5X84.5	16.9	11.5	0.670	1.22	1.92
WT16.5X76	16.7	11.6	0.635	1.06	1.76
WT16.5X70.5	16.7	11.5	0.605	0.960	1.66
WT16.5X65	16.5	11.5	0.580	0.855	1.56
WT16.5X59	16.4	11.5	0.550	0.740	1.44
WT15X195.5	16.6	15.6	1.36	2.44	3.23
WT15X178.5	16.4	15.5	1.24	2.24	3.03
WT15X163	16.2	15.4	1.14	2.05	2.84
WT15X146	16.0	15.3	1.02	1.85	2.64
WT15X130.5	15.8	15.2	0.930	1.65	2.44
WT15X117.5	15.7	15.1	0.830	1.50	2.29
WT15X105.5	15.5	15.1	0.775	1.32	2.10
WT15X95.5	15.3	15.0	0.710	1.19	1.97
WT15X86.5	15.2	15.0	0.655	1.07	1.85
WT15X74	15.3	10.5	0.650	1.18	1.83
WT15X66	15.2	10.5	0.615	1.00	1.65
WT15X62	15.1	10.5	0.585	0.930	1.58
WT15X58	15.0	10.5	0.565	0.850	1.50
WT15X54	14.9	10.5	0.545	0.760	1.41
WT15X49.5	14.8	10.5	0.520	0.670	1.32
WT15X45	14.8	10.4	0.470	0.610	1.26
WT13.5X269.5	16.3	15.3	1.97	3.54	4.33
WT13.5X184	15.2	14.7	1.38	2.48	3.27
